node name | requested bytes | total execution time | accelerator execution time | cpu execution time
MatMul                        12.36MB (100.00%, 29.26%),      58.82ms (100.00%, 32.73%),             0us (0.00%, 0.00%),      58.82ms (100.00%, 32.73%)
Mul                              2.82MB (70.74%, 6.67%),       34.82ms (67.27%, 19.38%),             0us (0.00%, 0.00%),       34.82ms (67.27%, 19.38%)
RandomUniform                   8.11MB (64.08%, 19.19%),       20.25ms (47.89%, 11.27%),             0us (0.00%, 0.00%),       20.25ms (47.89%, 11.27%)
Assign                         16.27MB (44.89%, 38.51%),        16.84ms (36.62%, 9.37%),             0us (0.00%, 0.00%),        16.84ms (36.62%, 9.37%)
ApplyAdagrad                          0B (0.00%, 0.00%),        13.93ms (27.25%, 7.75%),             0us (0.00%, 0.00%),        13.93ms (27.25%, 7.75%)
Tile                            779.52KB (6.38%, 1.84%),         9.07ms (19.50%, 5.05%),             0us (0.00%, 0.00%),         9.07ms (19.50%, 5.05%)
SquaredDifference               358.53KB (4.54%, 0.85%),         7.08ms (14.45%, 3.94%),             0us (0.00%, 0.00%),         7.08ms (14.45%, 3.94%)
Add                                   0B (0.00%, 0.00%),         3.86ms (10.51%, 2.15%),             0us (0.00%, 0.00%),         3.86ms (10.51%, 2.15%)
AddN                                  0B (0.00%, 0.00%),          3.81ms (8.36%, 2.12%),             0us (0.00%, 0.00%),          3.81ms (8.36%, 2.12%)
Sub                                 128B (3.69%, 0.00%),          2.39ms (6.24%, 1.33%),             0us (0.00%, 0.00%),          2.39ms (6.24%, 1.33%)
Sum                              28.30KB (3.69%, 0.07%),          1.41ms (4.91%, 0.78%),             0us (0.00%, 0.00%),          1.41ms (4.91%, 0.78%)
Transpose                        64.00KB (3.62%, 0.15%),           931us (4.13%, 0.52%),             0us (0.00%, 0.00%),           931us (4.13%, 0.52%)
ReluGrad                              0B (0.00%, 0.00%),           912us (3.61%, 0.51%),             0us (0.00%, 0.00%),           912us (3.61%, 0.51%)
BatchMatMul                     376.32KB (3.47%, 0.89%),           822us (3.11%, 0.46%),             0us (0.00%, 0.00%),           822us (3.11%, 0.46%)
Reshape                               0B (0.00%, 0.00%),           714us (2.65%, 0.40%),             0us (0.00%, 0.00%),           714us (2.65%, 0.40%)
VariableV2                            0B (0.00%, 0.00%),           470us (2.25%, 0.26%),             0us (0.00%, 0.00%),           470us (2.25%, 0.26%)
Mean                              3.97KB (2.58%, 0.01%),           449us (1.99%, 0.25%),             0us (0.00%, 0.00%),           449us (1.99%, 0.25%)
RealDiv                               4B (2.57%, 0.00%),           410us (1.74%, 0.23%),             0us (0.00%, 0.00%),           410us (1.74%, 0.23%)
Split                           286.72KB (2.57%, 0.68%),           391us (1.51%, 0.22%),             0us (0.00%, 0.00%),           391us (1.51%, 0.22%)
Identity                              0B (0.00%, 0.00%),           367us (1.29%, 0.20%),             0us (0.00%, 0.00%),           367us (1.29%, 0.20%)
BiasAddGrad                      14.50KB (1.89%, 0.03%),           312us (1.09%, 0.17%),             0us (0.00%, 0.00%),           312us (1.09%, 0.17%)
Sigmoid                               0B (0.00%, 0.00%),           299us (0.92%, 0.17%),             0us (0.00%, 0.00%),           299us (0.92%, 0.17%)
BiasAdd                               0B (0.00%, 0.00%),           281us (0.75%, 0.16%),             0us (0.00%, 0.00%),           281us (0.75%, 0.16%)
ConcatV2                        491.52KB (1.86%, 1.16%),           233us (0.59%, 0.13%),             0us (0.00%, 0.00%),           233us (0.59%, 0.13%)
Const                                 0B (0.00%, 0.00%),           204us (0.46%, 0.11%),             0us (0.00%, 0.00%),           204us (0.46%, 0.11%)
NoOp                                  0B (0.00%, 0.00%),           191us (0.35%, 0.11%),             0us (0.00%, 0.00%),           191us (0.35%, 0.11%)
Slice                           204.80KB (0.69%, 0.48%),           153us (0.24%, 0.09%),             0us (0.00%, 0.00%),           153us (0.24%, 0.09%)
Tanh                             10.24KB (0.21%, 0.02%),           143us (0.16%, 0.08%),             0us (0.00%, 0.00%),           143us (0.16%, 0.08%)
Neg                              77.95KB (0.18%, 0.18%),           142us (0.08%, 0.08%),             0us (0.00%, 0.00%),           142us (0.08%, 0.08%)
